experiment_id,timestamp,model_name,dataset_version,feature_version,random_seed,auroc,auprc,precision,recall,f1,sensitivity,specificity,brier_score,false_alert_rate,optimal_threshold,artifact_path,hyperparameters
EXP_LOGISTIC_REGRESSION_42,2026-08-30 04:56:18,logistic_regression,v1.0,v1.0,42,0.9534,0.6927,0.7273,0.5779,0.644,0.5779,0.9733,0.0472,0.0267,0.5,,"{""solver"": ""liblinear"", ""C"": 1.0}"
EXP_RANDOM_FOREST_42,2026-08-30 04:57:04,random_forest,v1.0,v1.0,42,0.9614,0.7149,0.7407,0.8456,0.7897,0.8456,0.9635,0.0385,0.0365,0.5,,"{""n_estimators"": 150, ""min_samples_split"": 10, ""min_samples_leaf"": 2, ""max_depth"": 10}"
EXP_XGBOOST_42,2026-08-30 04:57:10,xgboost,v1.0,v1.0,42,0.962,0.7419,0.7294,0.8782,0.7969,0.8782,0.9598,0.0375,0.0402,0.5,,"{""subsample"": 0.7, ""n_estimators"": 50, ""max_depth"": 3, ""learning_rate"": 0.1, ""colsample_bytree"": 1.0}"
EXP_LOGISTIC_REGRESSION_42,2026-08-30 04:59:06,logistic_regression,v1.0,v1.0,42,0.9534,0.6927,0.7273,0.5779,0.644,0.5779,0.9733,0.0472,0.0267,0.5,,"{""solver"": ""liblinear"", ""C"": 1.0}"
EXP_RANDOM_FOREST_42,2026-08-30 04:59:50,random_forest,v1.0,v1.0,42,0.9614,0.7149,0.7407,0.8456,0.7897,0.8456,0.9635,0.0385,0.0365,0.5,,"{""n_estimators"": 150, ""min_samples_split"": 10, ""min_samples_leaf"": 2, ""max_depth"": 10}"
EXP_XGBOOST_42,2026-08-30 04:59:55,xgboost,v1.0,v1.0,42,0.962,0.7419,0.7294,0.8782,0.7969,0.8782,0.9598,0.0375,0.0402,0.5,,"{""subsample"": 0.7, ""n_estimators"": 50, ""max_depth"": 3, ""learning_rate"": 0.1, ""colsample_bytree"": 1.0}"
EXP_LOGISTIC_REGRESSION_42,2026-08-30 05:02:13,logistic_regression,v1.0,v1.0,42,0.9534,0.6927,0.7273,0.5779,0.644,0.5779,0.9733,0.0472,0.0267,0.5,,"{""solver"": ""liblinear"", ""C"": 1.0}"
EXP_RANDOM_FOREST_42,2026-08-30 05:02:56,random_forest,v1.0,v1.0,42,0.9614,0.7149,0.7407,0.8456,0.7897,0.8456,0.9635,0.0385,0.0365,0.5,,"{""n_estimators"": 150, ""min_samples_split"": 10, ""min_samples_leaf"": 2, ""max_depth"": 10}"
EXP_XGBOOST_42,2026-08-30 05:03:01,xgboost,v1.0,v1.0,42,0.962,0.7419,0.7294,0.8782,0.7969,0.8782,0.9598,0.0375,0.0402,0.5,,"{""subsample"": 0.7, ""n_estimators"": 50, ""max_depth"": 3, ""learning_rate"": 0.1, ""colsample_bytree"": 1.0}"
EXP_LOGISTIC_REGRESSION_42,2026-08-30 05:04:42,logistic_regression,v1.0,v1.0,42,0.9534,0.6927,0.7273,0.5779,0.644,0.5779,0.9733,0.0472,0.0267,0.5,,"{""solver"": ""liblinear"", ""C"": 1.0}"
EXP_RANDOM_FOREST_42,2026-08-30 05:05:26,random_forest,v1.0,v1.0,42,0.9614,0.7149,0.7407,0.8456,0.7897,0.8456,0.9635,0.0385,0.0365,0.5,,"{""n_estimators"": 150, ""min_samples_split"": 10, ""min_samples_leaf"": 2, ""max_depth"": 10}"
EXP_XGBOOST_42,2026-08-30 05:05:31,xgboost,v1.0,v1.0,42,0.962,0.7419,0.7294,0.8782,0.7969,0.8782,0.9598,0.0375,0.0402,0.5,,"{""subsample"": 0.7, ""n_estimators"": 50, ""max_depth"": 3, ""learning_rate"": 0.1, ""colsample_bytree"": 1.0}"
EXP_LOGISTIC_REGRESSION_42,2026-08-30 05:06:53,logistic_regression,v1.0,v1.0,42,0.9534,0.6927,0.7273,0.5779,0.644,0.5779,0.9733,0.0472,0.0267,0.5,,"{""solver"": ""liblinear"", ""C"": 1.0}"
EXP_RANDOM_FOREST_42,2026-08-30 05:07:36,random_forest,v1.0,v1.0,42,0.9614,0.7149,0.7407,0.8456,0.7897,0.8456,0.9635,0.0385,0.0365,0.5,,"{""n_estimators"": 150, ""min_samples_split"": 10, ""min_samples_leaf"": 2, ""max_depth"": 10}"
EXP_XGBOOST_42,2026-08-30 05:07:42,xgboost,v1.0,v1.0,42,0.962,0.7419,0.7294,0.8782,0.7969,0.8782,0.9598,0.0375,0.0402,0.5,,"{""subsample"": 0.7, ""n_estimators"": 50, ""max_depth"": 3, ""learning_rate"": 0.1, ""colsample_bytree"": 1.0}"
