threshold,sensitivity,specificity,precision,f1_score,false_alert_rate,tp,fp,tn,fn
0.1,0.9278,0.9474,0.6851,0.7882,0.0526,655,301,5425,51
0.15,0.9207,0.9504,0.6959,0.7927,0.0496,650,284,5442,56
0.2,0.9108,0.9534,0.7066,0.7958,0.0466,643,267,5459,63
0.25,0.9065,0.9539,0.708,0.795,0.0461,640,264,5462,66
0.3,0.9051,0.9546,0.7108,0.7963,0.0454,639,260,5466,67
0.35,0.8966,0.956,0.7153,0.7957,0.044,633,252,5474,73
0.4,0.8895,0.957,0.7185,0.7949,0.043,628,246,5480,78
0.45,0.8839,0.9588,0.7256,0.7969,0.0412,624,236,5490,82
0.5,0.8782,0.9598,0.7294,0.7969,0.0402,620,230,5496,86
0.55,0.8697,0.9609,0.7327,0.7953,0.0391,614,224,5502,92
0.6,0.8442,0.9623,0.734,0.7852,0.0377,596,216,5510,110
0.65,0.8201,0.9651,0.7433,0.7798,0.0349,579,200,5526,127
0.7,0.4759,0.9808,0.7534,0.5833,0.0192,336,110,5616,370
0.75,0.0,1.0,0.0,0.0,0.0,0,0,5726,706
0.8,0.0,1.0,0.0,0.0,0.0,0,0,5726,706
0.85,0.0,1.0,0.0,0.0,0.0,0,0,5726,706
0.9,0.0,1.0,0.0,0.0,0.0,0,0,5726,706
